# #lambda	QE(%)
4.618400000000000318e+02 2.203399999999999537e+01
4.622799999999999727e+02 2.196800000000000352e+01
4.627200000000000273e+02 2.190199999999999392e+01
4.631599999999999682e+02 2.183600000000000207e+01
4.636000000000000227e+02 2.176999999999999602e+01
4.640399999999999636e+02 2.170400000000000418e+01
4.644800000000000182e+02 2.163799999999999457e+01
4.649199999999999591e+02 2.157200000000000628e+01
4.653600000000000136e+02 2.150527999999999551e+01
4.658000000000000114e+02 2.143839999999999790e+01
4.662400000000000091e+02 2.137151999999999674e+01
4.666800000000000068e+02 2.130463999999999913e+01
4.671200000000000045e+02 2.123775999999999797e+01
4.675600000000000023e+02 2.117088000000000036e+01
4.680000000000000000e+02 2.110399999999999920e+01
4.684399999999999977e+02 2.103712000000000160e+01
4.688799999999999955e+02 2.097024000000000044e+01
4.693199999999999932e+02 2.090336000000000283e+01
4.697599999999999909e+02 2.083648000000000167e+01
4.701999999999999886e+02 2.076800000000000423e+01
4.706399999999999864e+02 2.069760000000000133e+01
4.710800000000000409e+02 2.062719999999999487e+01
4.715199999999999818e+02 2.055680000000000263e+01
4.719600000000000364e+02 2.048639999999999617e+01
4.723999999999999773e+02 2.041600000000000392e+01
4.728400000000000318e+02 2.034559999999999391e+01
4.732799999999999727e+02 2.027520000000000522e+01
4.737200000000000273e+02 2.020479999999999521e+01
4.741599999999999682e+02 2.013440000000000651e+01
4.746000000000000227e+02 2.006399999999999650e+01
4.750399999999999636e+02 1.999520000000000408e+01
4.754800000000000182e+02 1.994239999999999924e+01
4.759199999999999591e+02 1.988960000000000505e+01
4.763600000000000136e+02 1.983679999999999666e+01
4.768000000000000114e+02 1.978399999999999892e+01
4.772400000000000091e+02 1.973119999999999763e+01
4.776800000000000068e+02 1.967839999999999989e+01
4.781200000000000045e+02 1.962559999999999860e+01
4.785600000000000023e+02 1.957279999999999731e+01
4.790000000000000000e+02 1.951999999999999957e+01
4.794399999999999977e+02 1.946719999999999828e+01
4.798799999999999955e+02 1.941440000000000055e+01
4.803199999999999932e+02 1.935839999999999961e+01
4.807599999999999909e+02 1.930120000000000147e+01
4.811999999999999886e+02 1.924399999999999977e+01
4.816399999999999864e+02 1.918680000000000163e+01
4.820800000000000409e+02 1.912959999999999283e+01
4.825199999999999818e+02 1.907240000000000180e+01
4.829600000000000364e+02 1.901519999999999300e+01
4.833999999999999773e+02 1.895800000000000196e+01
4.838400000000000318e+02 1.890079999999999671e+01
4.842799999999999727e+02 1.884360000000000213e+01
4.847200000000000273e+02 1.878639999999999688e+01
4.851599999999999682e+02 1.873560000000000159e+01
4.856000000000000227e+02 1.869599999999999795e+01
4.860399999999999636e+02 1.865640000000000498e+01
4.864800000000000182e+02 1.861679999999999779e+01
4.869199999999999591e+02 1.857720000000000482e+01
4.873600000000000136e+02 1.853759999999999764e+01
4.878000000000000114e+02 1.849800000000000111e+01
4.882400000000000091e+02 1.845840000000000103e+01
4.886800000000000068e+02 1.841880000000000095e+01
4.891200000000000045e+02 1.837920000000000087e+01
4.895600000000000023e+02 1.833960000000000079e+01
4.900000000000000000e+02 1.830000000000000071e+01
4.904399999999999977e+02 1.826480000000000103e+01
4.908799999999999955e+02 1.822960000000000136e+01
4.913199999999999932e+02 1.819440000000000168e+01
4.917599999999999909e+02 1.815920000000000201e+01
4.921999999999999886e+02 1.812400000000000233e+01
4.926399999999999864e+02 1.808879999999999910e+01
4.930800000000000409e+02 1.805359999999999587e+01
4.935199999999999818e+02 1.801839999999999975e+01
4.939600000000000364e+02 1.798319999999999652e+01
4.943999999999999773e+02 1.794800000000000040e+01
4.948400000000000318e+02 1.791279999999999717e+01
4.952799999999999727e+02 1.787704000000000093e+01
4.957200000000000273e+02 1.784095999999999549e+01
4.961599999999999682e+02 1.780488000000000071e+01
4.966000000000000227e+02 1.776879999999999526e+01
4.970399999999999636e+02 1.773272000000000048e+01
4.974800000000000182e+02 1.769663999999999859e+01
4.979199999999999591e+02 1.766056000000000026e+01
4.983600000000000136e+02 1.762447999999999837e+01
4.988000000000000114e+02 1.758839999999999648e+01
4.992400000000000091e+02 1.755231999999999815e+01
4.996800000000000068e+02 1.751623999999999626e+01
5.001200000000000045e+02 1.748159999999999670e+01
5.005600000000000023e+02 1.745079999999999742e+01
5.010000000000000000e+02 1.741999999999999815e+01
5.014399999999999977e+02 1.738919999999999888e+01
5.018799999999999955e+02 1.735839999999999961e+01
5.023199999999999932e+02 1.732760000000000034e+01
5.027599999999999909e+02 1.729680000000000106e+01
5.031999999999999886e+02 1.726600000000000179e+01
5.036399999999999864e+02 1.723520000000000252e+01
5.040800000000000409e+02 1.720439999999999614e+01
5.045199999999999818e+02 1.717360000000000042e+01
5.049600000000000364e+02 1.714279999999999760e+01
5.053999999999999773e+02 1.710400000000000276e+01
5.058400000000000318e+02 1.706439999999999912e+01
5.062799999999999727e+02 1.702480000000000260e+01
5.067200000000000273e+02 1.698519999999999897e+01
5.071599999999999682e+02 1.694560000000000244e+01
5.076000000000000227e+02 1.690599999999999881e+01
5.080399999999999636e+02 1.686640000000000583e+01
5.084800000000000182e+02 1.682679999999999865e+01
5.089199999999999591e+02 1.678720000000000567e+01
5.093600000000000136e+02 1.674759999999999849e+01
5.098000000000000114e+02 1.670800000000000196e+01
5.102400000000000091e+02 1.666072000000000131e+01
5.106800000000000068e+02 1.660704000000000136e+01
5.111200000000000045e+02 1.655336000000000141e+01
5.115600000000000023e+02 1.649968000000000146e+01
5.120000000000000000e+02 1.644600000000000151e+01
5.124400000000000546e+02 1.639231999999999445e+01
5.128799999999999955e+02 1.633864000000000161e+01
5.133199999999999363e+02 1.628496000000000876e+01
5.137599999999999909e+02 1.623128000000000171e+01
5.142000000000000455e+02 1.617759999999999465e+01
